<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;20220103;000000;295.9;305.5;294.34;305.47;50156260
SBER;D;20220104;000000;305.51;310.1;301.63;304.24;53268220
SBER;D;20220105;000000;303.56;304.26;287;287.01;70015940
SBER;D;20220106;000000;286.86;295.1;281;293.92;79329410
SBER;D;20220110;000000;295.53;298.88;288.68;291.69;67393720
SBER;D;20220111;000000;292.93;293.94;288.71;291.88;58894910
SBER;D;20220112;000000;292.5;292.92;285.05;290.4;81815210
SBER;D;20220113;000000;289.69;290.37;269.9;272.5;211547650
SBER;D;20220114;000000;272.39;277.98;249.2;261;406232780
SBER;D;20220117;000000;262.2;264.01;247;257.78;248613210
SBER;D;20220118;000000;258.8;259.39;228.09;234.7;484049150
SBER;D;20220119;000000;232.89;249;221.03;244.86;360884470
SBER;D;20220120;000000;244.12;263;240.01;254.61;329059220
SBER;D;20220121;000000;252.98;259.08;246;246.9;295614320
SBER;D;20220124;000000;246.51;249.88;226;236.97;325615680
SBER;D;20220125;000000;236.99;243.55;231;239.59;232503340
SBER;D;20220126;000000;240.06;245.17;233.3;236.9;224800440
SBER;D;20220127;000000;234.99;260;233.1;254.29;301187890
SBER;D;20220128;000000;255.86;262;252.02;257.82;204153960
SBER;D;20220131;000000;258.88;269.6;258.81;269.42;156087540
SBER;D;20220201;000000;269.71;273.1;260.56;264.7;170357700
SBER;D;20220202;000000;265.8;266.91;254.52;261;170198890
SBER;D;20220203;000000;258.45;259.87;250.06;250.79;151127560
SBER;D;20220204;000000;251.99;259.74;251.91;256.53;126990670
SBER;D;20220207;000000;257;260.53;253.52;257.61;85547520
SBER;D;20220208;000000;257.61;269.9;256.52;269.8;161498400
SBER;D;20220209;000000;270.01;279.71;270;279.09;193232800
SBER;D;20220210;000000;279.21;282.3;273.67;275.2;180119880
SBER;D;20220211;000000;274.88;275.87;259.61;260.83;213783420
SBER;D;20220214;000000;256.69;259.5;245.1;256.7;357398630
SBER;D;20220215;000000;257.6;274;257.51;274;271473810
SBER;D;20220216;000000;276.88;281;274.15;277.78;195684110
SBER;D;20220217;000000;277;277;259.36;260.58;262060710
SBER;D;20220218;000000;262.14;267;245;250.28;270538090
SBER;D;20220221;000000;249.12;258.32;184.3;201;1084339130
SBER;D;20220222;000000;198.72;219.9;182.03;208.53;945941710
SBER;D;20220224;000000;186.58;187.54;89.59;132.18;828329350
SBER;D;20220225;000000;123.75;152.89;115.11;131.12;396287150
SBER;D;20220324;000000;131;156.2;130.15;136.24;153705270
SBER;D;20220325;000000;137.1;147;128.2;131.5;57307510
SBER;D;20220328;000000;130.6;131.47;125;125;32756540
SBER;D;20220329;000000;126.19;137.57;122;128.77;72242360
SBER;D;20220330;000000;136.5;138.4;131.11;134.6;35411460
SBER;D;20220331;000000;135.2;147.41;134.52;143.69;118239240
SBER;D;20220401;000000;144.99;155.4;144.51;154.5;118603620
SBER;D;20220404;000000;158.76;166.88;150.2;166;115516920
SBER;D;20220405;000000;169.83;169.9;147.76;154.1;130008010
SBER;D;20220406;000000;143.52;153.3;140.65;141.6;108343440
SBER;D;20220407;000000;143.2;149.9;142.5;147.5;58520280
SBER;D;20220408;000000;149.01;151;141.06;143.72;48314240
SBER;D;20220411;000000;144.12;146.98;138.5;138.69;47482340
SBER;D;20220412;000000;138.84;140.1;130.35;135.38;75342120
SBER;D;20220413;000000;136.78;138.14;132.72;135.5;38947640
SBER;D;20220414;000000;135.7;135.89;129.05;129.05;44206040
SBER;D;20220415;000000;128.55;131.72;125.12;130.88;46693490
SBER;D;20220418;000000;131.45;132.68;123.7;123.85;58331430
SBER;D;20220419;000000;123.85;123.85;115.36;120.3;79797640
SBER;D;20220420;000000;120.9;125.44;117.51;121.5;66509740
SBER;D;20220421;000000;121.97;123.05;117.85;118.65;40607300
SBER;D;20220422;000000;118.69;122.32;115.55;116.97;57392470
SBER;D;20220425;000000;115.95;116.4;111.5;111.9;45714280
SBER;D;20220426;000000;112.58;124.92;111.9;122.36;83480680
SBER;D;20220427;000000;123.01;131.73;120.6;131.11;115400220
SBER;D;20220428;000000;132.14;134.5;123.05;123.85;123344490
SBER;D;20220429;000000;123.6;130;122.8;128.8;87296290
SBER;D;20220504;000000;129.1;131.5;122.5;123.2;67177440
SBER;D;20220505;000000;124.21;125.54;122.75;124.8;42303350
SBER;D;20220506;000000;124.74;124.99;121.52;123.1;30558900
SBER;D;20220511;000000;123.01;126.05;121.86;123.34;32776680
SBER;D;20220512;000000;123.1;123.74;118.05;119.15;30817890
SBER;D;20220513;000000;120.45;121.59;118.2;120.2;22762650
SBER;D;20220516;000000;120.7;123.5;119.5;123.41;34889180
SBER;D;20220517;000000;124.01;127.78;123.65;127.75;41838840
SBER;D;20220518;000000;128.2;131.3;125;125.12;55422410
SBER;D;20220519;000000;125.31;126.86;123.21;125.6;34146310
SBER;D;20220520;000000;126.07;127;121.05;122.2;39225870
SBER;D;20220523;000000;121.51;122.5;118.9;119.46;37711030
SBER;D;20220524;000000;119.45;125;117.1;123.6;45091260
SBER;D;20220525;000000;124.12;125.5;120.5;124.15;53466830
SBER;D;20220526;000000;124.81;125.99;122;123;51897210
SBER;D;20220527;000000;123.1;123.5;120.9;121.22;32523920
SBER;D;20220530;000000;121.6;123;120.21;120.67;24894090
SBER;D;20220531;000000;120;120;117.62;118.3;29907440
SBER;D;20220601;000000;117.5;122.69;117;121.97;43722390
SBER;D;20220602;000000;121.9;122.39;118.5;119;42732340
SBER;D;20220603;000000;119.29;120.16;117.18;119.21;34298730
SBER;D;20220606;000000;119.36;120.35;118.29;118.78;22191350
SBER;D;20220607;000000;118.65;118.9;117.32;118.32;22238300
SBER;D;20220608;000000;118.5;122.19;118.4;119.9;41488860
SBER;D;20220609;000000;120.06;120.2;117.7;118.2;29343850
SBER;D;20220610;000000;118.03;119.55;117.73;118.07;25343510
SBER;D;20220614;000000;118.04;119.88;115.8;118.98;37579410
SBER;D;20220615;000000;119.4;121.71;118.71;121.14;52145030
SBER;D;20220616;000000;121.5;123.73;120.41;123.73;47892000
SBER;D;20220617;000000;123.9;125.18;123.11;123.88;36503100
SBER;D;20220620;000000;124.05;131.5;123.6;131.29;65637580
SBER;D;20220621;000000;131.98;133.49;127.11;129.1;75189920
SBER;D;20220622;000000;127.88;133.21;126.03;133.11;67693510
SBER;D;20220623;000000;133.82;138.4;131.5;136.85;107981870
SBER;D;20220624;000000;137.19;138.3;135.21;137.76;45185200
SBER;D;20220627;000000;137.7;141.77;136.77;141.15;69806790
SBER;D;20220628;000000;141.76;142.35;138.5;139.99;54771750
SBER;D;20220629;000000;139.81;139.89;132.75;132.8;55124090
SBER;D;20220630;000000;132.5;135.44;123.55;125.2;91333370
SBER;D;20220701;000000;124.5;132;122.5;129.91;60560280
